Año,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2014,14884750,9975087,604862,303,285,26056633
2015,15115694,11162971,620877,330,241,27473819
2016,15073814,12177088,680127,336,226,28496058
2017,14639302,14148063,766312,430,342,30330683
2018,13981984,16571272,1079124,869,463,32968187
2019,11447626,18754974,3191409,1262,908,35566181
2020,9072828,20539964,4636620,1562,957,36771243
2021,7802044,22877010,6473506,1925,1005,40086391
2022,1533240,6073426,8878132,545,251,10624009
2023,,,9322038.6,,,
2024,,,9788140.53,,,
